ທະວີບອາຟະລິກ	アフリカ
ປະເທດຍີ່ປຸ່ນ	日本
ທະວີບອາເມລິກາໃຕ້	南アメリカ
ປະເທດນອກແວດ	ノルウェー
ປະເທດອັງກິດ	イングランド
ປະເທດເອກົດ	スコットランド
ປະເທດການ	ウェールズ
ປະເທດອຽກລັງ	アイルランド
ປະເທດຮົງກະລີ	ハンガリー
ປະເທດແອສະປາຍ	スペイン
ສະຫະລັດອາເມລິກາ	アメリカ合衆国
ປະເທດແບນຊິກ	ベルギー
ປະເທດລູກຊຳບວກ	ルクセンブルク
ໂລກ	地球
ປະເທດແຟງລັງ	フィンランド
ປະເທດຊູແອດ	スウェーデン
ປະເທດດານມາກ	デンマーク
ປະເທດໂປໂລຍ	ポーランド
ປະເທດລີຕົວນີ	リトアニア
ປະເທດອິຕາລີ	イタリア
ປະເທດສະວິດ	スイス
ປະເທດໂອຕະລິດ	オーストリア
ປະເທດກະແລັດ	ギリシャ
ປະເທດຕວກກີ	トルコ
ເບຍ	ビール
ປະເທດປອກຕຸຍການ	ポルトガル
ທະວີບເອີລົບ	ヨーロッパ
ອາຊີ	アジア
ທະວີບອາເມລິກາເໜືອ	北アメリカ
ທະວີບອັງຕາກຕິກ	南極大陸
ວິກິພີເດຍ	ウィキペディア
ປະເທດໂຮນລັງ	オランダ
ຄອມພິວເຕີ	コンピュータ
ອິນເຕີເນັດ	インターネット
ບາຣັກ ໂອບາມາ	バラク・オバマ
ປະເທດອູຣູກວາຍ	ウルグアイ
ຈັກພິມ	プリンター
ລອນດອນ	ロンドン
ປາລີ	パリ
ແອນດຣອຍດ໌	Android
ກູໂກລ	Google
ປະເທດເມັກຊິກ	メキシコ
ມະຫາສະໝຸດອັດລັງຕິກ	大西洋
ມະຫາສະໝຸດປາຊີຟິກ	太平洋
ວັນຈັນ	月曜日
ເດືອນມັງກອນ	1月
ກຸມພາ	2月
ມີນາ	3月
ເມສາ	4月
ພຶດສະພາ	5月
ມິຖຸນາ	6月
ກໍລະກົດ	7月
ສິງຫາ	8月
ກັນຍາ	9月
ຕຸລາ	10月
ພະຈິກ	11月
ທັນວາ	12月
ວັນອັງຄານ	火曜日
ວັນພຸດ	水曜日
ວັນພະຫັດ	木曜日
ວັນສຸກ	金曜日
ວັນເສົາ	土曜日
ວັນອາທິດ	日曜日
ປະເທດຝະລັ່ງ	フランス
ໝາ	イヌ
ສະຫະລາຊະອານາຈັກ	イギリス
ແມວ	ネコ
ປະເທດຈີນ	中華人民共和国
ພາສາຝະລັ່ງ	フランス語
ປະເທດບະເຣຊິນ	ブラジル
ປະເທດລັດເຊຍ	ロシア
ຮູບຈັດຕຸລັດ	正方形
ທະເລ	海
ແຂວງເກແບັກ	ケベック州
ປະເທດເຢຍລະມັນ	ドイツ
ປະເທດບີເອໂລລຸດ	ベラルーシ
ປະເທດອີສະລັງ	アイスランド
